"AWifi","BWifi","CWifi","Cell"
"54","59","48","C"
"54","63","48","C"
"55","59","48","C"
"61","61","47","C"
"60","60","48","C"
"55","61","48","C"
"60","61","47","C"
"55","61","48","C"
"54","61","48","C"
"54","64","47","C"
"54","60","47","C"
"55","60","47","C"
"54","64","48","C"
"59","64","47","C"
"60","64","48","C"
"55","59","48","C"
"55","63","48","C"
"56","60","48","C"
"54","60","47","C"
"55","60","48","C"
"58","60","47","C"
"55","60","47","C"
"61","60","48","C"
"54","60","47","C"
"60","59","47","C"
"54","60","47","C"
"58","59","48","C"
"58","59","47","C"
"60","59","48","C"
"67","62","48","C"
"58","59","47","C"
"60","58","48","C"
"59","61","48","C"
"55","59","47","C"
"55","59","48","C"
"60","59","48","C"
"54","59","48","C"
"59","59","48","C"
"54","60","48","C"
"55","62","47","C"
"60","59","47","C"
"60","60","48","C"
"61","61","48","C"
"59","62","48","C"
"58","60","48","C"
"55","64","47","C"
"54","61","47","C"
"60","61","48","C"
"61","62","47","C"
"58","62","48","C"
"59","61","47","C"
"55","59","47","C"
"55","60","47","C"
"59","58","47","C"
"69","76","46","C"
"60","76","46","C"
"63","70","45","C"
"64","71","45","C"
"63","75","45","C"
"64","73","46","C"
"63","74","46","C"
"57","74","46","C"
"59","70","46","C"
"60","71","46","C"
"64","72","46","C"
"61","72","45","C"
"61","72","45","C"
"61","71","45","C"
"61","70","45","C"
"60","71","45","C"
"61","73","45","C"
"60","75","45","C"
"66","73","45","C"
"60","71","45","C"
"60","74","45","C"
"61","73","46","C"
"65","72","45","C"
"59","71","46","C"
"60","73","46","C"
"60","73","45","C"
"61","74","46","C"
"64","71","46","C"
"60","74","46","C"
"61","70","46","C"
"61","72","45","C"
"61","72","45","C"
"61","73","45","C"
"60","70","45","C"
"61","70","46","C"
"61","72","46","C"
"60","72","46","C"
"61","73","46","C"
"61","71","45","C"
"61","72","46","C"
"60","71","46","C"
"61","72","46","C"
"60","72","46","C"
"61","72","45","C"
"60","73","46","C"
"60","73","45","C"
"60","72","45","C"
"61","79","45","C"
"60","73","45","C"
"60","71","45","C"
"60","71","45","C"
"59","71","45","C"
"61","70","45","C"
"60","73","45","C"
"61","70","45","C"
"61","74","44","C"
"60","73","45","C"
"60","74","45","C"
"61","71","46","C"
"59","73","46","C"
"60","73","45","C"
"60","73","45","C"
"60","71","46","C"
"60","71","46","C"
"60","72","46","C"
"62","72","46","C"
"61","73","46","C"
"61","72","45","C"
"62","70","45","C"
"61","72","45","C"
"63","72","46","C"
"61","70","46","C"
"62","72","46","C"
"61","71","46","C"
"61","73","45","C"
"61","73","46","C"
"60","73","45","C"
"61","69","46","C"
"61","69","46","C"
"61","71","45","C"
"61","70","46","C"
"59","72","46","C"
"60","72","46","C"
"60","71","46","C"
"60","71","46","C"
"59","72","45","C"
"62","73","45","C"
"61","72","46","C"
"48","65","52","D"
"50","69","52","D"
"49","69","53","D"
"50","68","51","D"
"49","69","52","D"
"49","70","52","D"
"49","67","51","D"
"48","68","52","D"
"49","70","52","D"
"50","70","51","D"
"49","68","52","D"
"49","67","51","D"
"50","68","53","D"
"49","66","52","D"
"50","68","53","D"
"51","68","52","D"
"53","67","53","D"
"49","70","52","D"
"53","70","50","D"
"51","70","51","D"
"50","70","50","D"
"50","68","53","D"
"50","70","52","D"
"49","69","53","D"
"49","69","52","D"
"51","70","52","D"
"49","68","52","D"
"51","70","51","D"
"51","70","51","D"
"51","69","52","D"
"51","68","51","D"
"51","67","52","D"
"50","72","52","D"
"50","68","52","D"
"50","66","52","D"
"49","69","52","D"
"50","68","52","D"
"50","68","53","D"
"49","68","54","D"
